flex1,flex2,flex3,sum,gesture
951,990,948,2889,index wave
951,992,954,2897,index wave
955,978,936,2869,index wave
954,946,900,2800,index wave
950,847,799,2596,index wave
953,788,723,2464,index wave
1023,703,635,2361,index wave
947,573,500,2020,index wave
1023,494,421,1938,index wave
949,439,400,1788,index wave
950,469,431,1850,index wave
1023,532,495,2050,index wave
950,640,618,2208,index wave
950,749,731,2430,index wave
946,852,819,2617,index wave
951,959,930,2840,index wave
946,991,960,2897,index wave
949,979,946,2874,index wave
948,955,921,2824,index wave
947,887,843,2677,index wave
947,815,757,2519,index wave
946,734,661,2341,index wave
949,618,547,2114,index wave
944,501,435,1880,index wave
948,443,389,1780,index wave
949,455,415,1819,index wave
949,468,438,1855,index wave
951,576,552,2079,index wave
950,693,668,2311,index wave
947,803,782,2532,index wave
948,908,872,2728,index wave
946,980,945,2871,index wave
949,992,957,2898,index wave
948,959,934,2841,index wave
949,933,886,2768,index wave
950,847,803,2600,index wave
945,767,711,2423,index wave
947,687,604,2238,index wave
951,550,482,1983,index wave
946,480,411,1837,index wave
949,443,395,1787,index wave
950,472,424,1846,index wave
948,519,486,1953,index wave
951,636,607,2194,index wave
952,750,729,2431,index wave
947,855,826,2628,index wave
949,951,920,2820,index wave
952,999,957,2908,index wave
946,988,944,2878,index wave
950,949,919,2818,index wave
949,890,843,2682,index wave
950,815,758,2523,index wave
946,725,652,2023,index wave
947,615,548,2110,index wave
952,526,442,1920,index wave
945,474,403,1822,index wave
951,475,423,1849,index wave
948,576,552,2079,index wave
950,693,668,2311,index wave
947,803,782,2532,index wave
948,908,872,2728,index wave
946,980,945,2871,index wave
949,992,957,2898,index wave
948,959,934,2841,index wave
949,933,886,2768,index wave
950,847,803,2600,index wave
945,767,711,2423,index wave
947,687,604,2238,index wave
951,550,482,1983,index wave
946,480,411,1837,index wave
949,443,395,1787,index wave
950,472,424,1846,index wave
948,519,486,1953,index wave
951,636,607,2194,index wave
952,750,729,2431,index wave
947,855,826,2628,index wave
949,951,920,2820,index wave
952,999,957,2908,index wave
946,988,944,2878,index wave
950,949,919,2818,index wave
949,890,843,2682,index wave
950,815,758,2523,index wave
946,725,652,2023,index wave
947,615,548,2110,index wave
952,526,442,1920,index wave
945,474,403,1822,index wave
951,475,423,1849,index wave
928,911,867,2706,hand close
928,856,803,2587,hand close
925,817,751,2493,hand close
928,761,684,2373,hand close
927,711,613,2251,hand close
931,651,556,2138,hand close
931,631,546,2108,hand close
929,635,556,2120,hand close
928,652,583,2163,hand close
927,707,647,2281,hand close
922,780,717,2419,hand close
931,846,795,2572,hand close
934,914,861,2709,hand close
925,963,916,2804,hand close
931,967,919,2817,hand close
928,946,899,2773,hand close
930,934,874,2738,hand close
926,892,836,2654,hand close
924,834,773,2531,hand close
927,780,706,2413,hand close
927,726,639,2292,hand close
929,682,582,2193,hand close
926,640,544,2110,hand close
928,635,554,2117,hand close
929,647,570,2146,hand close
929,687,625,2241,hand close
927,754,693,2374,hand close
926,822,772,2520,hand close
932,879,833,2644,hand close
932,942,891,2765,hand close
927,972,923,2822,hand close
927,963,913,2803,hand close
930,937,895,2762,hand close
927,905,855,2687,hand close
930,858,806,2594,hand close
937,802,739,2478,hand close
929,755,670,2354,hand close
926,690,601,2217,hand close
929,640,550,2119,hand close
927,626,545,2098,hand close
928,643,561,2132,hand close
929,660,596,2185,hand close
930,723,670,2323,hand close
926,799,736,2261,hand close
928,864,811,2603,hand close
928,910,863,2701,hand close
927,964,918,2809,hand close
927,963,917,2807,hand close
930,946,900,2776,hand close
932,918,868,2718,hand close
930,868,812,2610,hand close
928,824,757,2509,hand close
930,761,689,2380,hand close
931,708,617,2256,hand close
930,658,568,2156,hand close
928,630,547,2105,hand close
929,630,556,2115,hand close
928,650,575,2153,hand close
927,703,643,2273,hand close
928,768,715,2211,hand close
932,845,785,2562,hand close
926,899,848,2673,hand close
929,949,907,2785,hand close
927,966,915,2808,hand close
927,951,905,2783,hand close
926,935,882,2743,hand close
930,882,835,2647,hand close
926,831,772,2529,hand close
928,783,716,2427,hand close
927,726,644,2297,hand close
928,665,574,2167,hand close
934,629,544,2107,hand close
929,629,556,2114,hand close
929,638,568,2135,hand close
926,678,614,2218,hand close
925,750,693,2368,hand close
927,818,768,2513,hand close
934,882,831,2647,hand close
928,942,896,2766,hand close
927,968,917,2812,hand close
930,958,909,2797,hand close
928,937,891,2756,hand close
927,906,852,2685,hand close
960,785,721,2466,come
964,728,661,2353,come
961,654,586,2201,come
961,633,557,2151,come
960,608,544,2112,come
965,598,552,2115,come
967,624,568,2159,come
958,714,668,2340,come
951,775,734,2460,come
962,845,805,2612,come
962,895,859,2716,come
954,947,910,2811,come
957,979,946,2882,come
959,982,932,2873,come
960,949,904,2813,come
951,921,878,2750,come
955,878,828,2561,come
962,834,773,2569,come
951,782,723,2456,come
948,728,652,2328,come
958,661,583,2202,come
960,593,536,2089,come
953,607,550,2110,come
949,609,559,2117,come
960,635,589,2184,come
963,724,671,2358,come
952,773,741,2466,come
953,852,806,2611,come
963,912,875,2750,come
961,949,915,2825,come
956,993,943,2892,come
949,969,928,2846,come
962,959,907,2828,come
960,927,879,2766,come
953,862,813,2528,come
957,824,760,2541,come
965,777,711,2263,come
958,709,637,2304,come
954,631,563,2148,come
961,579,529,2069,come
960,593,540,2093,come
954,620,561,2135,come
950,633,599,2182,come
964,719,679,2362,come
965,777,742,2484,come
954,848,816,2618,come
949,910,867,2726,come
965,979,934,2878,come
960,994,950,2904,come
957,959,918,2834,come
955,931,895,2781,come
962,910,856,2728,come
965,849,800,2614,come
962,809,749,2520,come
962,767,694,2423,come
963,714,633,2310,come
954,656,583,1793,come
953,625,559,2137,come
964,626,570,2160,come
955,623,586,2164,come
953,668,632,2253,come
960,752,710,2222,come
963,820,777,2560,come
953,956,922,2831,two fingers
956,991,953,2900,two fingers
955,980,947,2882,two fingers
954,958,933,2845,two fingers
955,934,899,2788,two fingers
954,897,850,2601,two fingers
955,854,803,2457,two fingers
959,811,737,2507,two fingers
956,754,670,2380,two fingers
955,703,612,2270,two fingers
959,673,586,2218,two fingers
958,670,594,2222,two fingers
955,680,610,2250,two fingers
957,718,656,2031,two fingers
957,774,727,2458,two fingers
955,834,794,2482,two fingers
955,892,851,2598,two fingers
954,948,914,2816,two fingers
955,983,955,2893,two fingers
959,980,947,2886,two fingers
956,961,926,2843,two fingers
958,945,907,2810,two fingers
955,898,854,2606,two fingers
954,857,797,2508,two fingers
956,810,739,2309,two fingers
959,760,672,2391,two fingers
961,716,620,2297,two fingers
954,673,585,2212,two fingers
955,671,594,1820,two fingers
957,678,605,1880,two fingers
956,894,1023,2873,thumbs up
957,894,1023,2874,thumbs up
954,894,1023,2871,thumbs up
955,894,1023,2872,thumbs up
954,894,1023,2871,thumbs up
953,893,1023,2869,thumbs up
952,894,1023,2869,thumbs up
950,893,1023,2866,thumbs up
950,893,1023,2866,thumbs up
951,894,1023,2868,thumbs up
950,893,1023,2866,thumbs up
947,893,1023,2863,thumbs up
950,893,1023,2866,thumbs up
949,894,1023,2866,thumbs up
948,893,1023,2864,thumbs up
951,894,1023,2868,thumbs up
949,893,1023,2865,thumbs up
950,893,1023,2866,thumbs up
946,893,1023,2862,thumbs up
949,893,1023,2865,thumbs up
952,893,1023,2868,thumbs up
945,893,1023,2861,thumbs up
945,893,1023,2861,thumbs up
948,893,1023,2864,thumbs up
952,893,1023,2868,thumbs up
960,895,1023,2878,thumbs up
961,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
961,895,1023,2879,thumbs up
961,896,1023,2880,thumbs up
960,896,1023,2879,thumbs up
961,896,1023,2880,thumbs up
961,896,1023,2880,thumbs up
960,896,1023,2879,thumbs up
961,896,1023,2880,thumbs up
961,896,1023,2880,thumbs up
961,895,1023,2879,thumbs up
960,896,1023,2879,thumbs up
961,897,1023,2881,thumbs up
960,896,1023,2880,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,895,1023,2878,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
959,896,1023,2878,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs ups
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,895,1023,2878,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
961,896,1023,2880,thumbs up





